,bsites,xsite,icsd_a_lat_avg,icsd_a_lat_min,icsd_a_lat_max,a_lat_diff_min,a_lat_diff_max,sim_a_lat
CsAgBiBr,"{'Bi', 'Ag'}",Br,11.278052173913043,11.1982,11.3296,0.07985217391304289,0.051547826086956405,11.186284827381622
CsAgTlBr,"{'Tl', 'Ag'}",Br,11.0828,11.0828,11.0828,0.0,0.0,11.007180383529468
CsNaYBr,"{'Na', 'Y'}",Br,11.3047,11.3047,11.3047,0.0,0.0,11.221885722511123
CsAgSbBr,"{'Sb', 'Ag'}",Br,11.18745,11.1583,11.2166,0.029149999999999565,0.029149999999999565,11.079338450510214
CsLaNaBr,"{'Na', 'La'}",Br,11.527,11.527,11.527,0.0,0.0,11.472635256306704
CsTeBr,"{'Te', nan}",Br,10.918776000000001,10.873,10.934,0.045776000000001815,0.015223999999998128,10.8718804402676
CsSnBr,"{nan, 'Sn'}",Br,11.01415,10.77,11.646,0.2441500000000012,0.63185,10.804280661571518
CsRuBr,"{'Ru', nan}",Br,10.6009,10.6009,10.6009,0.0,0.0,10.515227128772487
CsTaBr,"{'Ta', nan}",Br,10.6831,10.6831,10.6831,0.0,0.0,10.650085634117548
CsPdBr,"{'Pd', nan}",Br,10.6212,10.6212,10.6212,0.0,0.0,10.561102863379372
CsWBr,"{nan, 'W'}",Br,10.733,10.733,10.733,0.0,0.0,10.608220420224573
CsUBr,"{'U', nan}",Br,11.07,11.07,11.07,0.0,0.0,10.993152423140094
CsPoBr,"{'Po', nan}",Br,10.99,10.99,10.99,0.0,0.0,10.964701960725924
CsNpBr,"{nan, 'Np'}",Br,11.082,11.082,11.082,0.0,0.0,10.952321185798604
CsPtBr,"{'Pt', nan}",Br,10.65325,10.6365,10.67,0.016750000000000043,0.016750000000000043,10.611700634839478
CsSeBr,"{nan, 'Se'}",Br,10.8834,10.8834,10.8834,0.0,0.0,
CsOsBr,"{'Os', nan}",Br,10.7603,10.7603,10.7603,0.0,0.0,10.543154103986852
CsTiBr,"{'Ti', nan}",Br,10.57,10.57,10.57,0.0,0.0,10.618166030017418
CsBiNaCl,"{'Na', 'Bi'}",Cl,10.837653333333332,10.7711,10.9975,0.06655333333333147,0.15984666666666847,10.802895437664027
CsAgBiCl,"{'Bi', 'Ag'}",Cl,10.774783333333334,10.7551,10.7858,0.019683333333333053,0.011016666666666453,10.67269701443596
CsAgInCl,"{'In', 'Ag'}",Cl,10.489945454545452,10.4609,10.546,0.029045454545451932,0.05605454545454691,10.37943323068388
CsAgTlCl,"{'Tl', 'Ag'}",Cl,10.5595,10.5595,10.5595,0.0,0.0,10.472890832564948
CsNaVCl,"{'V', 'Na'}",Cl,10.3497,10.3497,10.3497,0.0,0.0,10.223308818333647
CsKScCl,"{'K', 'Sc'}",Cl,10.873,10.873,10.873,0.0,0.0,10.817037826575325
CsLiYCl,"{'Li', 'Y'}",Cl,10.4857,10.4857,10.4857,0.0,0.0,10.3559007187501
CsNaYCl,"{'Na', 'Y'}",Cl,10.713099999999999,10.6722,10.7396,0.040899999999998826,0.026500000000000412,10.654672367502052
CsNaUCl,"{'U', 'Na'}",Cl,10.936,10.935,10.937,0.0009999999999994458,0.0009999999999994458,10.835067738262474
CsKTbCl,"{'Tb', 'K'}",Cl,11.122,11.122,11.122,0.0,0.0,11.107781418216868
CsEuKCl,"{'K', 'Eu'}",Cl,11.163,11.163,11.163,0.0,0.0,11.1693301026595
CsCeNaCl,"{'Ce', 'Na'}",Cl,10.943,10.943,10.943,0.0,0.0,10.911333231847374
CsBiLiCl,"{'Bi', 'Li'}",Cl,10.5844,10.5844,10.5844,0.0,0.0,10.490136246308364
CsInNaCl,"{'Na', 'In'}",Cl,10.517999999999999,10.4967,10.538,0.02129999999999832,0.02000000000000135,10.498986172118268
CsAgFeCl,"{'Fe', 'Ag'}",Cl,10.2023,10.2023,10.2023,0.0,0.0,10.08789167182968
CsFeNaCl,"{'Na', 'Fe'}",Cl,10.320735714285714,10.2591,10.3719,0.061635714285714016,0.051164285714285995,10.25650155561774
CsAgSbCl,"{'Sb', 'Ag'}",Cl,10.681700000000001,10.664,10.7009,0.01770000000000138,0.019199999999999662,10.565464907783776
CsNaScCl,"{'Na', 'Sc'}",Cl,10.4903,10.4902,10.4904,9.999999999976694e-05,9.999999999976694e-05,10.41903518339101
CsLaNaCl,"{'Na', 'La'}",Cl,10.9175,10.9175,10.9175,0.0,0.0,10.908720421300703
CsBkNaCl,"{'Na', 'Bk'}",Cl,10.805,10.805,10.805,0.0,0.0,
CsAgAuCl,"{'Au', 'Ag'}",Cl,10.45,10.45,10.45,0.0,0.0,10.149982990585633
CsErNaCl,"{'Er', 'Na'}",Cl,10.7089,10.7089,10.7089,0.0,0.0,10.612555568857896
CsNaYbCl,"{'Na', 'Yb'}",Cl,10.6244,10.6244,10.6244,0.0,0.0,10.576019567951668
CsNaSmCl,"{'Na', 'Sm'}",Cl,10.8342,10.8342,10.8342,0.0,0.0,10.761388182381394
CsLiLuCl,"{'Lu', 'Li'}",Cl,10.409,10.409,10.409,0.0,0.0,10.26650861084031
CsNaTbCl,"{'Na', 'Tb'}",Cl,10.7636,10.7636,10.7636,0.0,0.0,10.676270945683164
CsLiNdCl,"{'Li', 'Nd'}",Cl,10.639,10.639,10.639,0.0,0.0,10.511141534533095
